task,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true
connect_7,2020-09-12 00:22:01,2020-09-12 00:24:23,242,32167.42772321758,32654.07049593158,32589.544560732786,518.5965281859119,31247.580993003543,31323.648827000674
coltopo,2020-09-12 00:29:01,2020-09-12 00:32:01,225,21444.7013499726,21633.968201418003,21958.356527323725,396.5033036134578,29254.632938004805,29139.135410000184
start,2020-09-12 00:33:01,2020-09-12 00:35:23,153,18340.637993609365,17686.52527020172,18121.8878515897,349.18915489949495,21605.94772000263,20888.379234999025
connect_7,2020-09-12 00:52:01,2020-09-12 00:52:01,241,32052.60186347902,32194.41950726334,32315.027380988202,348.8420171462187,31112.73456700415,30806.485955000797
coltopo,2020-09-12 00:59:01,2020-09-12 01:02:01,225,22061.360785908364,21958.374673185983,21969.00697792291,366.4119524096607,29712.756613004418,29303.438886000324
start,2020-09-12 01:02:01,2020-09-12 01:04:23,157,18405.089494288743,17960.42370365356,18187.21751967899,245.57751402909503,22036.679706003062,21407.75130999982
connect_7,2020-09-12 01:37:01,2020-09-12 01:39:23,242,33016.00783764754,32308.467485998877,32900.66888678671,339.6650305229697,32077.084376004503,31077.614994001142
coltopo,2020-09-12 01:44:01,2020-09-12 01:47:01,225,21543.722066854938,21732.58112392754,21846.78471836005,337.1037193121526,29384.543813003977,29200.22880299962
start,2020-09-12 01:48:01,2020-09-12 01:50:23,153,17698.16176994456,17847.49397774604,18173.411073481126,303.57945930305505,21018.586590002185,20912.801062999715
connect_7,2020-09-12 02:08:01,2020-09-12 02:10:23,241,32994.797820704734,31933.92405102326,32744.783738759103,331.5263975203628,32081.34967000318,30888.255856000713
coltopo,2020-09-12 02:15:01,2020-09-12 02:18:01,225,21771.70883802682,21679.87628575618,21956.409262917157,344.53818011683796,29612.67130900328,29053.71335899895
start,2020-09-12 02:19:01,2020-09-12 02:21:23,153,17991.011256207657,18356.47041704524,18393.245894837655,319.69681516678486,21356.97685300196,21424.80753599956
