slot_num,pdr
100,0.4117647058823529
100,0.7
100,0.5
100,0.4375
100,0.4375
100,0.5833333333333334
105,0.5384615384615384
105,0.5
105,0.4666666666666667
105,0.4375
105,0.4375
105,0.5833333333333334
110,0.5833333333333334
110,0.7777777777777778
110,1.0
110,0.5833333333333334
110,0.7
115,0.875
115,0.875
115,0.5833333333333334
120,0.7
120,0.7777777777777778
120,0.7777777777777778
120,0.8235294117647058
125,1.0
125,0.875
125,0.5833333333333334
125,0.7777777777777778
130,0.875
130,0.7777777777777778
135,0.875
135,1.0
135,0.7
135,1.0
140,1.0
140,1.0
140,1.0
140,0.875
145,1.0
145,0.875
145,1.0
145,1.0
150,1.0
150,1.0
150,0.875
150,0.875
155,1.0
155,0.875
155,1.0
155,1.0
160,1.0
160,1.0
160,1.0
160,1.0
165,0.875
165,1.0
165,1.0
165,1.0
170,1.0
170,1.0
170,0.875
170,1.0
